codigo,clave,descripcion,caja,master,precio,unidad,ean,precio minimo de venta,alta rotacion,precio mayoreo con IVA,precio distribuidor con IVA,precio publico con IVA,precio mayoreo sin IVA,precio distribuidor sin IVA,precio publico sin IVA,Marca,Precio Medio Mayoreo sin IVA,Precio Medio Mayoreo con IVA,Codigo SAT,Descripcion SAT,Familia,Descripcion Familia,Peso[Kg],Volumen[cm3]
43456,CEPO-12B,Cerradura tipo oval para bano laton brillante Hermex,3,12,225,Pieza,7.50E+12,155,0,185,155,225,159.48,133.62,193.97,Hermex,176.72,205,31162402,Cerraduras,P031,Cerraduras de pomo y cerrojos,0.48,3371.269
43457,CEPO-12E,Cerradura tipo oval para entrada laton brillante Hermex,3,12,235,Pieza,7.50E+12,165,0,195,165,235,168.1,142.24,202.59,Hermex,185.34,215,31162402,Cerraduras,P031,Cerraduras de pomo y cerrojos,0.48,3355.728
43458,CEPO-12R,Cerradura tipo oval para recamara laton brillante Hermex,3,12,235,Pieza,7.50E+12,165,0,195,165,235,168.1,142.24,202.59,Hermex,185.34,215,31162402,Cerraduras,P031,Cerraduras de pomo y cerrojos,0.56,3423.699
43462,CEPO-31B,Cerradura tipo esfera para bano cromo mate Hermex,3,12,225,Pieza,7.50E+12,155,0,185,155,225,159.48,133.62,193.97,Hermex,176.72,205,31162402,Cerraduras,P031,Cerraduras de pomo y cerrojos,0.5,3391.733
43463,CEPO-31E,Cerradura tipo esfera para entrada cromo mate Hermex,3,12,235,Pieza,7.50E+12,165,0,195,165,235,168.1,142.24,202.59,Hermex,185.34,215,31162402,Cerraduras,P031,Cerraduras de pomo y cerrojos,0.56,3284.381
43464,CEPO-31R,Cerradura tipo esfera para recamara cromo mate Hermex,3,12,235,Pieza,7.50E+12,165,0,195,165,235,168.1,142.24,202.59,Hermex,185.34,215,31162402,Cerraduras,P031,Cerraduras de pomo y cerrojos,0.54,3292.318
43468,CEPO-21B,Cerradura tipo esfera para bano laton antiguo Hermex,3,12,225,Pieza,7.50E+12,155,0,185,155,225,159.48,133.62,193.97,Hermex,176.72,205,31162402,Cerraduras,P031,Cerraduras de pomo y cerrojos,0.48,3363.696
43469,CEPO-21E,Cerradura tipo esfera para entrada laton antiguo Hermex,3,12,235,Pieza,7.50E+12,165,0,195,165,235,168.1,142.24,202.59,Hermex,185.34,215,31162402,Cerraduras,P031,Cerraduras de pomo y cerrojos,0.56,3426.624
43470,CEPO-21R,Cerradura tipo esfera para recamara laton antiguo Hermex,3,12,235,Pieza,7.50E+12,165,0,195,165,235,168.1,142.24,202.59,Hermex,185.34,215,31162402,Cerraduras,P031,Cerraduras de pomo y cerrojos,0.56,3353.472
43471,CEPO-11B,Cerradura tipo esfera para bano laton brillante Hermex,3,12,225,Pieza,7.50E+12,155,0,185,155,225,159.48,133.62,193.97,Hermex,176.72,205,31162402,Cerraduras,P031,Cerraduras de pomo y cerrojos,0.5,3387.552
