TRUPER,,GAFI
Claves,Descripcion,Claves,Descripcion
44470 ; ALG-220 ; 7506240601937,Alambre galvanizado calibre 22,191797 ; 44470,Alambre galvanizado cal 22 1kg alg220 fiero
45112 ; ALG-220B ; 7506240648857,Alambre galvanizado rollo 30 g en bolsa calibre 22,210964 ; 45112,Alambre galvanizado cal 22 30g alg220b fiero
44885 ; ALPU12-30 ; 7506240626107,Alambre de puas calibre 12.5 rollo de 30 Kg.,197710 ; 44885,Alambre pua cal 12.5 30.0kg 300mt ALPU1230 Fiero
44884 ; ALPU15-100 ; 7506240637295,Alambre de puas calibre 15 rollo de 100m.,204943 ; 44884,Alambre pua cal 15.5 04.8kg 100mt ALPU15100 Fiero
44458 ; ALRE-151 ; 7506240638438,Alambre recocido calibre 15 1Kg,205901 ; 44458,Alambre recocido cal 15 1kg alre151 fiero
44987 ; ALCA-60 ; 7506240625988,Alcayata roscada 19 X 60 mm caja 144 piezas,198059 ; 44987,Alcayata roscada 19x060mm diam 3.3mm c/144pz ALCA60 Fiero
44989 ; ALCA-80 ; 7506240625995,Alcayata roscada 21 X 80 mm caja 144 piezas,198061 ; 44989,Alcayata roscada 21x080mm diam 4.0mm c/144pz ALCA80 Fiero
44991 ; ALCA-100 ; 7506240626015,Alcayata roscada 22 X 100 mm caja 144 piezas,198063 ; 44991,Alcayata roscada 22x100mm diam 4.9mm c/144pz ALCA100 Fiero
44992 ; ALCA-110 ; 7506240626022,Alcayata roscada 23 X 110 mm caja 72 piezas,198064 ; 44992,Alcayata roscada 23x110mm diam 6.3mm c/72pz ALCA110 Fiero
12815 ; AM-VA ; 7501206625576,Amarrador de varillas con grip,8323 ; 12815,Amarrador varillas con grip am-va truper
14470 ; ANCLA-9 ; 7501206627969,Ancla de conexion para arneses 90 cm,3875 ; 14470,Ancla conexion 0.9m. ancla-9 truper
48119 ; ANAE-8 ; 7506240608103,Antena aerea para exterior 8 elementos,193980 ; 48119,Antena aerea p/exterior 08 elem anae-8 voltech
48121 ; ANAE-14 ; 7506240608127,Antena aerea para exterior 14 elementos,193982 ; 48121,Antena aerea p/exterior 14 elem anae-14 voltech
48169 ; ANAE-32 ; 7506240636779,Antena aerea 32 elementos,205824 ; 48169,Antena aerea p/exterior 32 elem anae32 voltech
48470 ; ANDO-4 ; 7501206699393,Antena aerea para tv tipo dura oro de 4 elementos,15609 ; 48470,Antena aerea p/tv 4 elem ando-4 voltech
48115 ; ANGI-360 ; 7501206695913,Antena aerea para tv giratoria 360 grados a control remoto,15608 ; 48115,Antena techo giratoria 360 grados ctrl remoto angi-360 voltech
48164 ; ANAE-360 ; 7506240618867,Antena aerea para TV exterior omnidireccional 360 grados,198616 ; 48164,Antena techo recepcion 360 grados anae-360 voltech
48165 ; ANAE-90 ; 7506240618874,Antena aerea para TV exterior direccional 90 grados,198617 ; 48165,Antena techo recepcion 90 grados anae-90 voltech
15455 ; ANZU-08 ; 7506240639411,Anzuelo para pesca # 8 100 piezas,206330 ; 15455,Anzuelo p/pesca # 08 anzu08 truper
15465 ; ANZU-15 ; 7506240639480,Anzuelo para pesca # 15 100 piezas,206337 ; 15465,Anzuelo p/pesca # 15 anzu15 truper
46444 ; APAL-2C ; 7506240639039,Apagador de palanca con cable,206182 ; 46444,Apagador cola rata apal2c voltech
46009 ; APSE-ECL ; 7501206656457,Interruptor de tres vias linea Classic,642 ; 46009,Apagador escalera blanco Classic APSEECL Volteck
46440 ; APSE-EE ; 7501206697627,Interruptor de 3 vias linea Economica,16152 ; 46440,Apagador escalera marfil Economica APSEEE Volteck
48083 ; APSE-EI ; 7501206690789,Interruptor de 3 vias linea Italiana color marfil,15760 ; 48083,Apagador escalera marfil Italiana APSEEI Volteck
46442 ; APAL-2 ; 7506240639015,Apagador de palanca 2 tornillos,206183 ; 46442,Apagador palanca 2 tornillos apal2 voltech
46005 ; APSE-CL ; 7501206656426,Interruptor sencillo linea Classc,641 ; 46005,Apagador sencillo blanco Classic APSECL Volteck
48132 ; APSE-IB ; 7506240606741,Interruptor sencillo linea Italiana color blanco,193444 ; 48132,Apagador sencillo blanco Italiana APSEIB Volteck
48322 ; APSE-OB ; 7506240625469,Interruptor sencillo linea Oslo color blanco,198633 ; 48322,Apagador sencillo blanco Oslo APSEOB Volteck
46002 ; APDO-S ; 7501206656402,Interruptor duplex linea Standard,638 ; 46002,Apagador sencillo doble marfil Standard APDOS Volteck
48084 ; APSE-I ; 7501206690796,Interruptor sencillo linea Italiana color marfil,14711 ; 48084,Apagador sencillo marfil Italiana APSEI Volteck
46004 ; APSO-S ; 7501206658543,Interruptor de sobreponer sencillo,190367 ; 46004,Apagador sencillo marfil Sobreponer ovalado APSOS Volteck
46000 ; APSE-S ; 7501206656396,Interruptor vertical linea Standard,643 ; 46000,Apagador sencillo marfil Standard APSES Volteck
46007 ; APTR-CL ; 7501206656440,Interruptor triple linea Classic,647 ; 46007,Apagador sencillo triple blanco Classic APTRCL Volteck
46001 ; COAP-S ; 7501206656617,Interruptor-contacto Standard,634 ; 46001,Apagador sencillo y cont 2p+t marfil Standard COAPS Volteck
44683 ; ARAP-1/8 ; 7506240611011,Arandela de presion 1/8' bolsa 300 piezas,194280 ; 44683,Arandela de presion pavonada 003mm 1/8 c/300pz ARAP1/8 Fiero
44684 ; ARAP-5/32 ; 7506240611028,Arandela de presion 5/32' bolsa 300 piezas,194281 ; 44684,Arandela de presion pavonada 004mm 5/32 c/300pz ARAP5/32 Fie
